# SN z phase m_Y m_Y_err mu_snpy mu_snpy_err mu_lcdm
2007bd 0.03180 1.100 17.502 0.054 35.609 0.012 35.723
2007bd 0.03180 9.830 18.164 0.054 35.609 0.012 35.723
2007bd 0.03180 9.840 18.099 0.069 35.609 0.012 35.723
2007bd 0.03180 12.789 18.140 0.066 35.609 0.012 35.723
2007bd 0.03180 12.779 18.083 0.073 35.609 0.012 35.723
2007bd 0.03180 20.520 17.572 0.053 35.609 0.012 35.723
2007bd 0.03180 20.510 17.599 0.046 35.609 0.012 35.723
2007bd 0.03180 26.340 17.193 0.036 35.609 0.012 35.723
2007bd 0.03180 26.340 17.120 0.036 35.609 0.012 35.723
2007bd 0.03180 36.021 17.657 0.049 35.609 0.012 35.723
2007bd 0.03180 36.031 17.562 0.047 35.609 0.012 35.723
2007bd 0.03180 38.941 17.847 0.070 35.609 0.012 35.723
2007bd 0.03180 38.951 17.663 0.063 35.609 0.012 35.723
2007bd 0.03180 15.660 18.074 0.029 35.609 0.012 35.723
2007bd 0.03180 17.591 17.930 0.041 35.609 0.012 35.723
2007bd 0.03180 17.600 17.804 0.027 35.609 0.012 35.723
2009ad 0.02830 -4.181 16.873 0.018 35.353 0.011 35.464
2009ad 0.02830 -4.171 16.838 0.015 35.353 0.011 35.464
2009ad 0.02830 0.710 17.184 0.017 35.353 0.011 35.464
2009ad 0.02830 0.720 17.162 0.019 35.353 0.011 35.464
2009ad 0.02830 2.655 17.297 0.028 35.353 0.011 35.464
2009ad 0.02830 2.665 17.354 0.026 35.353 0.011 35.464
2009ad 0.02830 3.627 17.510 0.028 35.353 0.011 35.464
2009ad 0.02830 3.627 17.477 0.029 35.353 0.011 35.464
2009ad 0.02830 4.609 17.530 0.022 35.353 0.011 35.464
2009ad 0.02830 4.619 17.561 0.027 35.353 0.011 35.464
2009ad 0.02830 5.533 17.596 0.025 35.353 0.011 35.464
2009ad 0.02830 5.543 17.604 0.025 35.353 0.011 35.464
2009ad 0.02830 7.478 17.731 0.036 35.353 0.011 35.464
2009ad 0.02830 7.488 17.704 0.032 35.353 0.011 35.464
2009ad 0.02830 12.340 17.775 0.030 35.353 0.011 35.464
2009ad 0.02830 12.340 17.807 0.032 35.353 0.011 35.464
2009ad 0.02830 14.314 17.737 0.038 35.353 0.011 35.464
2009ad 0.02830 14.304 17.709 0.031 35.353 0.011 35.464
2009ad 0.02830 24.990 17.036 0.029 35.353 0.011 35.464
2009ad 0.02830 25.000 17.052 0.021 35.353 0.011 35.464
2009ad 0.02830 33.722 16.726 0.018 35.353 0.011 35.464
2009ad 0.02830 33.732 16.687 0.018 35.353 0.011 35.464
2004eo 0.01470 -9.401 16.059 0.017 33.932 0.009 34.020
2004eo 0.01470 -8.446 15.938 0.007 33.932 0.009 34.020
