# snid z logmass logsfr logssfr SDSSu PS1g umg chi2 nbands
21502 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
21510 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
21669 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
21814 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
22075 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
22182 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
PS16n -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1990af -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1991ag -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1991bg -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1992ae -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1992ag -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1992al -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1992aq -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1992au -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1992bc -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1992bg -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1992bh -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1992bk -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1992bl -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1992bo -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1992bp -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1992br -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1992bs -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1993ac -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1993ae -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1993ag -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1993ah -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1994ae -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1995ac -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1995ak -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1995al -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1995bd -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1996ai -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1996bk -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1996bl -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1996bo -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1996bv -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1997bp -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1997bq -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1997br -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1997cn -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1997cw -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1997dg -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1997do -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1997dt -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1998ab -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1998aq -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1998bp -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1998bu -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
