SURVEY: WFIRST   
SNID:   35   
IAUC:    NULL 
PHOTOMETRY_VERSION: ROMAN_NIR 
SNTYPE:  1 
FILTERS: ZYJH 
RA:      189.354401  deg 
DEC:     62.221527  deg 
PIXSIZE:  0.1100  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0000    MW E(B-V) 
MWEBV_ERR:   0.0000    error on MWEBV 
REDSHIFT_HELIO:   0.548587 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.549206 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   55005.031 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  snoopy.B18 
SIM_MODEL_INDEX:  4 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = snoopy.B18  
SIM_LIBID:  43  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.54859  
SIM_REDSHIFT_CMB:    0.54921  
SIM_REDSHIFT_HOST:   0.54859  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      42.5056  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        189.354401 deg  
SIM_DEC:       62.221527 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0000   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       0   (modify MWEBV_SFD)
SIM_AVTAU:        0.000   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.324  mag  (host extinction at 5510 A)
SIM_RV:         3.100   (CCM89 extinction parameter) 
SIM_MAGSMEAR_COH:      0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  (ZYJH F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   23.37  23.74  23.88  24.33  (ZYJH obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (ZYJH obs)
SIM_PEAKMJD:   55005.000000  days 
SIM_STRETCH:    1.148  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 312 
NVAR: 14 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS  FLT_REST  SIM_MAGREST AVWARP KCOR
OBS:  55012.000  H MEDIUM   1.4323e+01   8.259e-01    0  32.024   0.92  24.6479  Y -17.8029 -1.504 -0.055
OBS:  55012.000  J MEDIUM   2.4096e+01   1.165e+00    0  31.688   0.91  24.0663  i -18.1016 -1.404 -0.338
OBS:  55012.000  Z MEDIUM   4.4032e+01   1.665e+00    0  31.401   0.91  23.3855  r -18.6232 0.460 -0.497
OBS:  55013.000  H MEDIUM   1.4360e+01   8.262e-01    0  32.024   0.92  24.7002  Y -17.7526 -1.330 -0.053
OBS:  55013.000  J MEDIUM   2.3032e+01   1.155e+00    0  31.688   0.91  24.0917  i -18.0781 -1.467 -0.336
OBS:  55013.000  Z MEDIUM   4.5727e+01   1.679e+00    0  31.401   0.91  23.3972  r -18.6082 0.476 -0.500
OBS:  55013.000  Y MEDIUM   2.8414e+01   1.432e+00    0  31.483   0.91  23.8140  r -18.4913 0.413 -0.200
OBS:  55014.000  J MEDIUM   2.2613e+01   1.151e+00    0  31.688   0.91  24.1188  i -18.0522 -1.535 -0.335
OBS:  55014.000  H MEDIUM   1.4427e+01   8.268e-01    0  32.024   0.92  24.7539  Y -17.7048 -1.141 -0.047
OBS:  55014.000  Y MEDIUM   2.9426e+01   1.441e+00    0  31.483   0.91  23.8357  r -18.4718 0.442 -0.198
OBS:  55014.000  Z MEDIUM   4.5066e+01   1.674e+00    0  31.401   0.91  23.4109  r -18.5888 0.492 -0.506
OBS:  55015.000  H MEDIUM   1.1919e+01   8.030e-01    0  32.024   0.92  24.8065  Y -17.6606 -0.967 -0.039
OBS:  55015.000  J MEDIUM   2.1859e+01   1.144e+00    0  31.688   0.91  24.1472  i -18.0235 -1.600 -0.335
OBS:  55015.000  Y MEDIUM   2.8797e+01   1.435e+00    0  31.483   0.91  23.8615  r -18.4478 0.472 -0.196
OBS:  55015.000  Z MEDIUM   4.4708e+01   1.671e+00    0  31.401   0.91  23.4274  r -18.5648 0.499 -0.513
OBS:  55016.000  J MEDIUM   2.1605e+01   1.142e+00    0  31.688   0.91  24.1759  i -17.9930 -1.660 -0.337
OBS:  55016.000  H MEDIUM   1.1564e+01   7.995e-01    0  32.024   0.92  24.8566  Y -17.6191 -0.808 -0.030
OBS:  55016.000  Y MEDIUM   2.5237e+01   1.403e+00    0  31.483   0.91  23.8900  r -18.4209 0.499 -0.195
OBS:  55016.000  Z MEDIUM   4.4463e+01   1.669e+00    0  31.401   0.91  23.4459  r -18.5378 0.502 -0.522
OBS:  55017.000  H MEDIUM   1.1643e+01   8.003e-01    0  32.024   0.92  24.8969  Y -17.5842 -0.687 -0.025
OBS:  55017.000  Y MEDIUM   2.6117e+01   1.411e+00    0  31.483   0.91  23.9234  r -18.3887 0.512 -0.194
OBS:  55017.000  J MEDIUM   1.9222e+01   1.120e+00    0  31.688   0.91  24.2044  i -17.9580 -1.696 -0.343
OBS:  55017.000  Z MEDIUM   3.8893e+01   1.622e+00    0  31.401   0.91  23.4689  r -18.5056 0.498 -0.531
OBS:  55018.000  H MEDIUM   1.1164e+01   7.957e-01    0  32.024   0.92  24.9258  Y -17.5555 -0.585 -0.024
OBS:  55018.000  J MEDIUM   1.8981e+01   1.117e+00    0  31.688   0.91  24.2318  i -17.9204 -1.702 -0.353
OBS:  55018.000  Y MEDIUM   2.4299e+01   1.395e+00    0  31.483   0.91  23.9587  r -18.3537 0.499 -0.193
OBS:  55018.000  Z MEDIUM   4.0272e+01   1.634e+00    0  31.401   0.91  23.4963  r -18.4706 0.495 -0.539
OBS:  55019.000  H MEDIUM   1.0798e+01   7.921e-01    0  32.024   0.92  24.9473  Y -17.5316 -0.493 -0.027
OBS:  55019.000  J MEDIUM   1.8753e+01   1.115e+00    0  31.688   0.91  24.2582  i -17.8808 -1.688 -0.367
OBS:  55019.000  Y MEDIUM   2.4517e+01   1.397e+00    0  31.483   0.91  23.9955  r -18.3167 0.472 -0.193
OBS:  55019.000  Z MEDIUM   3.8704e+01   1.621e+00    0  31.401   0.91  23.5267  r -18.4337 0.490 -0.545
OBS:  55020.000  Y MEDIUM   2.3843e+01   1.391e+00    0  31.483   0.91  24.0361  r -18.2761 0.479 -0.193
