OBS:   56930.135  z  E2  -3.0026e+00   8.2992e+00    1   -9  31.424 1.817 37.0 14.4 4.08 184.34 857.00  20140929 
OBS:   56934.338  g  E2   1.5702e+01   1.2435e+01  1025   -9  30.676 5.274 8.6 3.6 3.82 203.93 863.18  20141003 
OBS:   56934.341  r  E2  -1.4846e+00   1.4611e+01  1025   -9  30.751 4.766 12.6 4.0 3.78 218.90 874.69  20141003 
OBS:   56934.343  i  E2  -4.1993e+01   2.1654e+01  1025   -9  30.984 4.903 22.9 7.4 3.84 229.28 860.13  20141003 
OBS:   56934.346  z  E2   4.6149e+01   2.4590e+01  1025   -9  31.401 4.498 44.0 14.4 4.03 231.12 876.72  20141003 
OBS:   56943.018  g  E2  -5.7455e-01   4.5466e+00    1   -9  30.727 2.798 6.9 3.8 3.83 212.57 862.88  20141012 
OBS:   56943.020  r  E2  -1.8048e+01   6.7080e+00    1   -9  30.788 2.232 13.9 4.1 3.82 200.63 856.17  20141012 
OBS:   56943.022  i  E2  -2.1837e+00   9.0374e+00    1   -9  31.030 2.051 27.0 7.8 3.85 188.04 846.42  20141012 
OBS:   56943.025  z  E2   1.6645e+01   1.1234e+01    1   -9  31.463 1.997 52.9 15.0 4.06 192.56 836.44  20141012 
OBS:   56949.027  g  E2  -2.9261e+00   4.2959e+00    1   -9  30.458 1.861 7.5 3.0 3.76 187.22 874.15  20141018 
OBS:   56949.030  r  E2  -2.9669e+01   1.3414e+01    1   -9  29.739 1.952 13.2 1.6 3.84 192.83 887.37  20141018 
OBS:   56949.032  i  E2   1.6611e+01   6.9679e+00    1   -9  30.935 1.680 20.8 7.1 3.89 187.14 884.43  20141018 
OBS:   56949.034  z  E2  -5.0220e+00   1.4434e+01    1   -9  31.004 1.771 42.2 9.9 4.10 190.34 881.75  20141018 
OBS:   56956.008  g  E2   5.0406e+00   4.2072e+00    1   -9  30.703 1.791 8.8 3.7 3.91 189.98 874.25  20141025 
OBS:   56956.010  r  E2  -1.2845e+00   5.2688e+00    1   -9  30.768 1.681 12.9 4.0 3.85 180.65 883.41  20141025 
OBS:   56956.013  i  E2   8.6376e+00   6.9757e+00    1   -9  31.008 1.511 26.1 7.5 3.86 168.44 895.08  20141025 
OBS:   56956.015  z  E2  -1.6703e+01   8.5942e+00    1   -9  31.392 1.478 49.1 14.0 4.05 165.31 901.84  20141025 
OBS:   56960.171  g  E2  -1.8862e+00   5.1723e+00    1   -9  30.772 2.612 9.2 4.0 3.85 195.52 850.20  20141029 
OBS:   56960.173  r  E2  -1.9817e+01   5.7860e+00    1   -9  30.784 2.109 12.2 4.1 3.83 202.23 848.95  20141029 
OBS:   56960.175  i  E2   6.9498e+00   7.3991e+00    1   -9  31.014 1.990 21.0 7.8 3.92 211.60 844.66  20141029 
OBS:   56960.178  z  E2   4.9049e+00   9.7925e+00    1   -9  31.429 2.154 39.0 14.6 4.08 211.01 838.18  20141029 
OBS:   56973.021  g  E2   2.4765e+00   4.2461e+00    1   -9  30.772 2.180 8.5 4.0 3.87 187.55 872.56  20141111 
OBS:   56973.023  r  E2  -7.3015e+00   5.3259e+00    1   -9  30.794 2.010 11.3 4.1 3.79 179.38 880.20  20141111 
OBS:   56973.025  i  E2   4.5208e+00   6.8132e+00    1   -9  31.034 1.908 19.9 7.8 3.82 167.28 891.66  20141111 
OBS:   56973.028  z  E2  -8.4955e+00   8.3920e+00    1   -9  31.463 1.924 37.8 15.0 4.11 154.84 903.53  20141111 
OBS:   56980.037  g  E2   1.0867e+00   3.6704e+00    1   -9  30.772 1.765 7.5 4.0 3.82 201.36 852.44  20141118 
OBS:   56980.040  r  E2  -1.6423e+01   4.8866e+00    1   -9  30.789 1.576 11.5 4.2 3.77 189.73 861.41  20141118 
OBS:   56980.042  i  E2  -1.7336e+00   6.4149e+00    1   -9  31.027 1.568 22.6 7.9 3.89 187.78 862.85  20141118 
