#  target                ra         dec       mjd  filter  aper       flux  fluxerr         mag   magerr  magsys       zp      sky skyerr  image
crusher            39.96895    -1.59803  57397.899   f814w  0.30    31.5282   1.1000     22.2003   0.0379     ab   25.9470  -0.0007 0.0028  abell370_f814w_e12-e100_sub_masked.fits
crusher            39.96895    -1.59803  57397.899   f814w  0.40    30.4218   0.7056     22.2390   0.0252     ab   25.9470  -0.0007 0.0028  abell370_f814w_e12-e100_sub_masked.fits
crusher            39.96895    -1.59803  57397.899   f814w  0.50    29.1188   0.3617     22.2866   0.0135     ab   25.9470  -0.0007 0.0028  abell370_f814w_e12-e100_sub_masked.fits
crusher            39.96895    -1.59803  57397.899   f814w   inf    21.3651   0.2827     22.6227   0.0144     ab   25.9470  -0.0007 0.0028  abell370_f814w_e12-e100_sub_masked.fits
crusher            39.96895    -1.59803  57400.649   f814w  0.30    31.2852   1.0835     22.2087   0.0376     ab   25.9470  -0.0007 0.0036  abell370_f814w_e13-e100_sub_masked.fits
crusher            39.96895    -1.59803  57400.649   f814w  0.40    30.2911   0.7190     22.2437   0.0258     ab   25.9470  -0.0007 0.0036  abell370_f814w_e13-e100_sub_masked.fits
crusher            39.96895    -1.59803  57400.649   f814w  0.50    28.9567   0.4266     22.2926   0.0160     ab   25.9470  -0.0007 0.0036  abell370_f814w_e13-e100_sub_masked.fits
crusher            39.96895    -1.59803  57400.649   f814w   inf    19.6911   0.2600     22.7113   0.0143     ab   25.9470  -0.0007 0.0036  abell370_f814w_e13-e100_sub_masked.fits
crusher            39.96895    -1.59803  57405.626   f814w  0.30    36.6510   1.2750     22.0368   0.0378     ab   25.9470  -0.0007 0.0036  abell370_f814w_e14-e100_sub_masked.fits
crusher            39.96895    -1.59803  57405.626   f814w  0.40    35.2919   0.8232     22.0778   0.0253     ab   25.9470  -0.0007 0.0036  abell370_f814w_e14-e100_sub_masked.fits
crusher            39.96895    -1.59803  57405.626   f814w  0.50    33.8222   0.4913     22.1240   0.0158     ab   25.9470  -0.0007 0.0036  abell370_f814w_e14-e100_sub_masked.fits
crusher            39.96895    -1.59803  57405.626   f814w   inf    26.4590   0.3441     22.3906   0.0141     ab   25.9470  -0.0007 0.0036  abell370_f814w_e14-e100_sub_masked.fits
crusher            39.96895    -1.59803  57404.425   f814w  0.30    36.3076   1.2659     22.0470   0.0379     ab   25.9470  -0.0007 0.0036  abell370_f814w_e15-e100_sub_masked.fits
crusher            39.96895    -1.59803  57404.425   f814w  0.40    34.9845   0.8232     22.0873   0.0255     ab   25.9470  -0.0007 0.0036  abell370_f814w_e15-e100_sub_masked.fits
crusher            39.96895    -1.59803  57404.425   f814w  0.50    33.4491   0.4882     22.1360   0.0158     ab   25.9470  -0.0007 0.0036  abell370_f814w_e15-e100_sub_masked.fits
crusher            39.96895    -1.59803  57404.425   f814w   inf    26.1003   0.3307     22.4054   0.0138     ab   25.9470  -0.0007 0.0036  abell370_f814w_e15-e100_sub_masked.fits
crusher            39.96895    -1.59803  57407.548   f814w  0.30    34.5891   1.2057     22.0997   0.0378     ab   25.9470  -0.0008 0.0037  abell370_f814w_e16-e100_sub_masked.fits
crusher            39.96895    -1.59803  57407.548   f814w  0.40    33.2364   0.7842     22.1430   0.0256     ab   25.9470  -0.0008 0.0037  abell370_f814w_e16-e100_sub_masked.fits
crusher            39.96895    -1.59803  57407.548   f814w  0.50    31.7634   0.5192     22.1922   0.0177     ab   25.9470  -0.0008 0.0037  abell370_f814w_e16-e100_sub_masked.fits
crusher            39.96895    -1.59803  57407.548   f814w   inf    25.9203   0.3383     22.4129   0.0142     ab   25.9470  -0.0008 0.0037  abell370_f814w_e16-e100_sub_masked.fits
crusher            39.96895    -1.59803  57410.521   f814w  0.30    31.2358   1.0926     22.2104   0.0380     ab   25.9470  -0.0008 0.0037  abell370_f814w_e17-e100_sub_masked.fits
crusher            39.96895    -1.59803  57410.521   f814w  0.40    30.1887   0.7051     22.2474   0.0254     ab   25.9470  -0.0008 0.0037  abell370_f814w_e17-e100_sub_masked.fits
crusher            39.96895    -1.59803  57410.521   f814w  0.50    28.8570   0.4220     22.2964   0.0159     ab   25.9470  -0.0008 0.0037  abell370_f814w_e17-e100_sub_masked.fits
crusher            39.96895    -1.59803  57410.521   f814w   inf    21.7970   0.2752     22.6010   0.0137     ab   25.9470  -0.0008 0.0037  abell370_f814w_e17-e100_sub_masked.fits
crusher            39.96895    -1.59803  57415.433   f814w  0.30    24.7637   0.8726     22.4625   0.0383     ab   25.9470  -0.0008 0.0037  abell370_f814w_e20-e100_sub_masked.fits
crusher            39.96895    -1.59803  57415.433   f814w  0.40    23.8774   0.5898     22.5020   0.0268     ab   25.9470  -0.0008 0.0037  abell370_f814w_e20-e100_sub_masked.fits
crusher            39.96895    -1.59803  57415.433   f814w  0.50    22.7142   0.3840     22.5563   0.0184     ab   25.9470  -0.0008 0.0037  abell370_f814w_e20-e100_sub_masked.fits
crusher            39.96895    -1.59803  57415.433   f814w   inf    19.6061   0.2603     22.7160   0.0144     ab   25.9470  -0.0008 0.0037  abell370_f814w_e20-e100_sub_masked.fits
crusher            39.96895    -1.59803  57435.301   f814w  0.30    12.1741   0.4418     23.2334   0.0394     ab   25.9470  -0.0009 0.0030  abell370_f814w_e23-e100_sub_masked.fits
crusher            39.96895    -1.59803  57435.301   f814w  0.40    11.7842   0.3129     23.2687   0.0288     ab   25.9470  -0.0009 0.0030  abell370_f814w_e23-e100_sub_masked.fits
crusher            39.96895    -1.59803  57435.301   f814w  0.50    11.2461   0.2815     23.3195   0.0272     ab   25.9470  -0.0009 0.0030  abell370_f814w_e23-e100_sub_masked.fits
crusher            39.96895    -1.59803  57435.301   f814w   inf     9.5768   0.1380     23.4939   0.0156     ab   25.9470  -0.0009 0.0030  abell370_f814w_e23-e100_sub_masked.fits
