  SN    |    MJD|f|  omag|_omag|  Phase
SN2012ht|56345.3|r|15.528|0.038| 49.600
SN2012ht|56352.2|r|15.795|0.041| 56.500
SN2012ht|56353.2|r|15.818|0.037| 57.500
SN2012ht|56358.2|r|15.967|0.034| 62.500
SN2012ht|56365.2|r|16.238|0.030| 69.500
SN2012ht|56373.2|r|16.471|0.031| 77.500
SN2012ht|56380.1|r|16.751|0.030| 84.400
SN2012ht|56388.1|r|17.025|0.038| 92.400
SN2012ht|56398.1|r|17.344|0.035|102.400
SN2012ht|56424.0|r|18.085|0.036|128.300
SN2012ht|56282.3|i|15.935|0.048|-13.400
SN2012ht|56283.3|i|15.402|0.048|-12.400
SN2012ht|56285.3|i|14.627|0.052|-10.400
SN2012ht|56286.3|i|14.346|0.051| -9.400
SN2012ht|56289.3|i|13.850|0.052| -6.400
SN2012ht|56290.3|i|13.708|0.051| -5.400
SN2012ht|56291.3|i|13.671|0.052| -4.400
SN2012ht|56291.3|i|13.701|0.052| -4.400
SN2012ht|56292.3|i|13.724|0.053| -3.400
SN2012ht|56295.3|i|13.770|0.050| -0.400
SN2012ht|56297.3|i|13.820|0.048|  1.600
SN2012ht|56299.3|i|13.938|0.050|  3.600
SN2012ht|56300.3|i|13.999|0.050|  4.600
SN2012ht|56301.3|i|14.133|0.039|  5.600
SN2012ht|56304.3|i|14.425|0.048|  8.600
SN2012ht|56305.3|i|14.477|0.049|  9.600
SN2012ht|56306.3|i|14.597|0.040| 10.600
SN2012ht|56307.3|i|14.530|0.053| 11.600
SN2012ht|56308.3|i|14.691|0.054| 12.600
SN2012ht|56309.3|i|14.623|0.051| 13.600
SN2012ht|56310.3|i|14.552|0.050| 14.600
SN2012ht|56311.3|i|14.540|0.043| 15.600
SN2012ht|56314.3|i|14.391|0.052| 18.600
SN2012ht|56315.3|i|14.417|0.041| 19.600
SN2012ht|56316.3|i|14.457|0.040| 20.600
SN2012ht|56317.3|i|14.364|0.052| 21.600
SN2012ht|56318.2|i|14.399|0.050| 22.500
SN2012ht|56319.2|i|14.394|0.051| 23.500
SN2012ht|56320.2|i|14.415|0.052| 24.500
SN2012ht|56322.3|i|14.478|0.050| 26.600
SN2012ht|56324.2|i|14.590|0.039| 28.500
SN2012ht|56325.2|i|14.651|0.049| 29.500
SN2012ht|56326.2|i|14.751|0.040| 30.500
SN2012ht|56327.3|i|14.825|0.049| 31.600
SN2012ht|56328.3|i|14.888|0.049| 32.600
SN2012ht|56329.2|i|14.966|0.039| 33.500
SN2012ht|56330.2|i|14.933|0.043| 34.500
SN2012ht|56331.2|i|15.042|0.041| 35.500
SN2012ht|56332.2|i|15.133|0.039| 36.500
SN2012ht|56336.3|i|15.321|0.049| 40.600
SN2012ht|56337.3|i|15.392|0.050| 41.600
SN2012ht|56338.2|i|15.444|0.042| 42.500
SN2012ht|56338.2|i|15.441|0.041| 42.500
SN2012ht|56339.2|i|15.496|0.040| 43.500
SN2012ht|56342.2|i|15.642|0.050| 46.500
SN2012ht|56345.3|i|15.731|0.049| 49.600
SN2012ht|56352.2|i|16.042|0.052| 56.500
SN2012ht|56353.2|i|16.005|0.041| 57.500
SN2012ht|56358.2|i|16.233|0.046| 62.500
SN2012ht|56365.2|i|16.487|0.041| 69.500
SN2012ht|56373.2|i|16.805|0.041| 77.500
SN2012ht|56380.1|i|16.993|0.042| 84.400
SN2012ht|56388.1|i|17.247|0.052| 92.400
SN2012ht|56398.1|i|17.592|0.049|102.400
SN2012ht|56424.0|i|18.189|0.050|128.300
SN2012ht|56284.3|Y|14.627|0.019|-11.400
